File,aid,Date,0,1,2,3
_1_km_monthly_pixel_reliability_2007001_aid0001,aid0001,2007-01-01 00:00:00+00:00,3099348,848090,131844,94599
_1_km_monthly_pixel_reliability_2007032_aid0001,aid0001,2007-02-01 00:00:00+00:00,3217388,739213,133830,85636
_1_km_monthly_pixel_reliability_2007060_aid0001,aid0001,2007-03-01 00:00:00+00:00,3420241,522124,178175,57889
_1_km_monthly_pixel_reliability_2007091_aid0001,aid0001,2007-04-01 00:00:00+00:00,3448654,607034,108068,16883
_1_km_monthly_pixel_reliability_2007121_aid0001,aid0001,2007-05-01 00:00:00+00:00,3480153,623892,50178,27615
_1_km_monthly_pixel_reliability_2007152_aid0001,aid0001,2007-06-01 00:00:00+00:00,2437182,1316025,24539,404262
_1_km_monthly_pixel_reliability_2007182_aid0001,aid0001,2007-07-01 00:00:00+00:00,865448,1853876,12099,1450818
_1_km_monthly_pixel_reliability_2007213_aid0001,aid0001,2007-08-01 00:00:00+00:00,1308106,2319744,8931,545400
_1_km_monthly_pixel_reliability_2007244_aid0001,aid0001,2007-09-01 00:00:00+00:00,2436737,1655600,15713,71665
_1_km_monthly_pixel_reliability_2007274_aid0001,aid0001,2007-10-01 00:00:00+00:00,3269864,817487,41727,48123
_1_km_monthly_pixel_reliability_2007305_aid0001,aid0001,2007-11-01 00:00:00+00:00,3043861,1068933,28347,35917
_1_km_monthly_pixel_reliability_2007335_aid0001,aid0001,2007-12-01 00:00:00+00:00,2638386,1451107,31198,58068
_1_km_monthly_pixel_reliability_2008001_aid0001,aid0001,2008-01-01 00:00:00+00:00,3076611,829485,98369,173782
_1_km_monthly_pixel_reliability_2008032_aid0001,aid0001,2008-02-01 00:00:00+00:00,2879613,1012270,165311,122753
_1_km_monthly_pixel_reliability_2008061_aid0001,aid0001,2008-03-01 00:00:00+00:00,3291303,682296,162587,45402
_1_km_monthly_pixel_reliability_2008092_aid0001,aid0001,2008-04-01 00:00:00+00:00,3383826,624818,124784,48702
_1_km_monthly_pixel_reliability_2008122_aid0001,aid0001,2008-05-01 00:00:00+00:00,3307431,759568,64923,50419
_1_km_monthly_pixel_reliability_2008153_aid0001,aid0001,2008-06-01 00:00:00+00:00,1880115,1611828,18861,671354
_1_km_monthly_pixel_reliability_2008183_aid0001,aid0001,2008-07-01 00:00:00+00:00,846479,1588100,10285,1737284
_1_km_monthly_pixel_reliability_2008214_aid0001,aid0001,2008-08-01 00:00:00+00:00,1513908,2104012,10776,553385
_1_km_monthly_pixel_reliability_2008245_aid0001,aid0001,2008-09-01 00:00:00+00:00,2675821,1445095,22650,36248
_1_km_monthly_pixel_reliability_2008275_aid0001,aid0001,2008-10-01 00:00:00+00:00,3607614,500752,45970,25603
_1_km_monthly_pixel_reliability_2008306_aid0001,aid0001,2008-11-01 00:00:00+00:00,3165618,906732,56782,49418
_1_km_monthly_pixel_reliability_2008336_aid0001,aid0001,2008-12-01 00:00:00+00:00,3000713,1033181,69297,76785
_1_km_monthly_pixel_reliability_2009001_aid0001,aid0001,2009-01-01 00:00:00+00:00,2517375,1365843,169653,122199
_1_km_monthly_pixel_reliability_2009032_aid0001,aid0001,2009-02-01 00:00:00+00:00,3213357,692550,164439,108949
_1_km_monthly_pixel_reliability_2009060_aid0001,aid0001,2009-03-01 00:00:00+00:00,3077495,876055,167265,60731
_1_km_monthly_pixel_reliability_2009091_aid0001,aid0001,2009-04-01 00:00:00+00:00,3237987,753468,150825,40033
_1_km_monthly_pixel_reliability_2009121_aid0001,aid0001,2009-05-01 00:00:00+00:00,3369502,683813,101494,27452
_1_km_monthly_pixel_reliability_2009152_aid0001,aid0001,2009-06-01 00:00:00+00:00,2834242,1116304,44599,187097
_1_km_monthly_pixel_reliability_2009182_aid0001,aid0001,2009-07-01 00:00:00+00:00,953659,2006600,19493,1202575
_1_km_monthly_pixel_reliability_2009213_aid0001,aid0001,2009-08-01 00:00:00+00:00,1535312,2292556,15390,338684
_1_km_monthly_pixel_reliability_2009244_aid0001,aid0001,2009-09-01 00:00:00+00:00,2820371,1310544,21562,27939
_1_km_monthly_pixel_reliability_2009274_aid0001,aid0001,2009-10-01 00:00:00+00:00,3614057,503872,35283,25559
_1_km_monthly_pixel_reliability_2009305_aid0001,aid0001,2009-11-01 00:00:00+00:00,3096814,939805,78374,64034
_1_km_monthly_pixel_reliability_2009335_aid0001,aid0001,2009-12-01 00:00:00+00:00,2319025,1618164,137955,104555
_1_km_monthly_pixel_reliability_2010001_aid0001,aid0001,2010-01-01 00:00:00+00:00,2661477,1244869,142124,129100
_1_km_monthly_pixel_reliability_2010032_aid0001,aid0001,2010-02-01 00:00:00+00:00,3115509,808408,137571,118522
_1_km_monthly_pixel_reliability_2010060_aid0001,aid0001,2010-03-01 00:00:00+00:00,3192536,781440,143530,64448
_1_km_monthly_pixel_reliability_2010091_aid0001,aid0001,2010-04-01 00:00:00+00:00,3448140,560128,127025,47048
_1_km_monthly_pixel_reliability_2010121_aid0001,aid0001,2010-05-01 00:00:00+00:00,3345560,686168,106505,44055
_1_km_monthly_pixel_reliability_2010152_aid0001,aid0001,2010-06-01 00:00:00+00:00,2433659,1257287,62675,428370
_1_km_monthly_pixel_reliability_2010182_aid0001,aid0001,2010-07-01 00:00:00+00:00,777478,1830784,18910,1554811
_1_km_monthly_pixel_reliability_2010213_aid0001,aid0001,2010-08-01 00:00:00+00:00,792453,2137724,12715,1239029
_1_km_monthly_pixel_reliability_2010244_aid0001,aid0001,2010-09-01 00:00:00+00:00,2609925,1458226,19693,92131
_1_km_monthly_pixel_reliability_2010274_aid0001,aid0001,2010-10-01 00:00:00+00:00,2618932,1481899,35123,40044
_1_km_monthly_pixel_reliability_2010305_aid0001,aid0001,2010-11-01 00:00:00+00:00,2656125,1394225,44500,81810
_1_km_monthly_pixel_reliability_2010335_aid0001,aid0001,2010-12-01 00:00:00+00:00,2881794,1184883,45015,65679
_1_km_monthly_pixel_reliability_2011001_aid0001,aid0001,2011-01-01 00:00:00+00:00,3019643,851767,183218,119263
_1_km_monthly_pixel_reliability_2011032_aid0001,aid0001,2011-02-01 00:00:00+00:00,3420626,475304,166341,115660
_1_km_monthly_pixel_reliability_2011060_aid0001,aid0001,2011-03-01 00:00:00+00:00,3582857,352741,175190,68946
_1_km_monthly_pixel_reliability_2011091_aid0001,aid0001,2011-04-01 00:00:00+00:00,3126952,862131,163801,28608
_1_km_monthly_pixel_reliability_2011121_aid0001,aid0001,2011-05-01 00:00:00+00:00,3166658,914070,70449,31004
_1_km_monthly_pixel_reliability_2011152_aid0001,aid0001,2011-06-01 00:00:00+00:00,1959060,1857793,23863,341524
_1_km_monthly_pixel_reliability_2011182_aid0001,aid0001,2011-07-01 00:00:00+00:00,614874,1936906,13619,1616762
_1_km_monthly_pixel_reliability_2011213_aid0001,aid0001,2011-08-01 00:00:00+00:00,756724,2213061,12153,1200071
_1_km_monthly_pixel_reliability_2011244_aid0001,aid0001,2011-09-01 00:00:00+00:00,2389827,1710294,18581,61768
_1_km_monthly_pixel_reliability_2011274_aid0001,aid0001,2011-10-01 00:00:00+00:00,2593514,1520803,33574,26422
_1_km_monthly_pixel_reliability_2011305_aid0001,aid0001,2011-11-01 00:00:00+00:00,2946438,1105866,80277,41452
_1_km_monthly_pixel_reliability_2011335_aid0001,aid0001,2011-12-01 00:00:00+00:00,2731116,1313428,71200,59959
_1_km_monthly_pixel_reliability_2012001_aid0001,aid0001,2012-01-01 00:00:00+00:00,2899144,1031942,143474,100315
_1_km_monthly_pixel_reliability_2012032_aid0001,aid0001,2012-02-01 00:00:00+00:00,2976885,919526,166150,114481
_1_km_monthly_pixel_reliability_2012061_aid0001,aid0001,2012-03-01 00:00:00+00:00,3205924,741133,164860,67032
_1_km_monthly_pixel_reliability_2012092_aid0001,aid0001,2012-04-01 00:00:00+00:00,3362585,643143,140032,34713
_1_km_monthly_pixel_reliability_2012122_aid0001,aid0001,2012-05-01 00:00:00+00:00,2971001,1080920,87748,42197
_1_km_monthly_pixel_reliability_2012153_aid0001,aid0001,2012-06-01 00:00:00+00:00,2136126,1773682,42894,229441
_1_km_monthly_pixel_reliability_2012183_aid0001,aid0001,2012-07-01 00:00:00+00:00,1006184,1752429,14992,1408563
_1_km_monthly_pixel_reliability_2012214_aid0001,aid0001,2012-08-01 00:00:00+00:00,828678,1990811,12316,1350301
_1_km_monthly_pixel_reliability_2012245_aid0001,aid0001,2012-09-01 00:00:00+00:00,2540623,1560077,16106,64274
_1_km_monthly_pixel_reliability_2012275_aid0001,aid0001,2012-10-01 00:00:00+00:00,3116140,999263,34801,29158
_1_km_monthly_pixel_reliability_2012306_aid0001,aid0001,2012-11-01 00:00:00+00:00,2694804,1375437,55528,52236
_1_km_monthly_pixel_reliability_2012336_aid0001,aid0001,2012-12-01 00:00:00+00:00,3153619,846370,102479,77537
_1_km_monthly_pixel_reliability_2013001_aid0001,aid0001,2013-01-01 00:00:00+00:00,2963209,925183,154926,133054
_1_km_monthly_pixel_reliability_2013032_aid0001,aid0001,2013-02-01 00:00:00+00:00,2821026,1068803,201796,88000
_1_km_monthly_pixel_reliability_2013060_aid0001,aid0001,2013-03-01 00:00:00+00:00,3025758,923023,182280,50129
_1_km_monthly_pixel_reliability_2013091_aid0001,aid0001,2013-04-01 00:00:00+00:00,3122789,858634,143558,57195
_1_km_monthly_pixel_reliability_2013121_aid0001,aid0001,2013-05-01 00:00:00+00:00,2848138,1182535,92322,59406
_1_km_monthly_pixel_reliability_2013152_aid0001,aid0001,2013-06-01 00:00:00+00:00,1577135,1878549,33463,693086
_1_km_monthly_pixel_reliability_2013182_aid0001,aid0001,2013-07-01 00:00:00+00:00,599376,1352899,14735,2215194
_1_km_monthly_pixel_reliability_2013213_aid0001,aid0001,2013-08-01 00:00:00+00:00,1258815,2455126,12138,456092
_1_km_monthly_pixel_reliability_2013244_aid0001,aid0001,2013-09-01 00:00:00+00:00,2148052,1963433,14650,54447
_1_km_monthly_pixel_reliability_2013274_aid0001,aid0001,2013-10-01 00:00:00+00:00,2385366,1739939,21906,29043
_1_km_monthly_pixel_reliability_2013305_aid0001,aid0001,2013-11-01 00:00:00+00:00,1947755,2082433,98316,47168
_1_km_monthly_pixel_reliability_2013335_aid0001,aid0001,2013-12-01 00:00:00+00:00,3170532,860052,78773,68154
_1_km_monthly_pixel_reliability_2014001_aid0001,aid0001,2014-01-01 00:00:00+00:00,1971727,1880064,166931,155261
_1_km_monthly_pixel_reliability_2014032_aid0001,aid0001,2014-02-01 00:00:00+00:00,3285345,620706,171575,101070
_1_km_monthly_pixel_reliability_2014060_aid0001,aid0001,2014-03-01 00:00:00+00:00,3258965,667532,182616,70879
_1_km_monthly_pixel_reliability_2014091_aid0001,aid0001,2014-04-01 00:00:00+00:00,2882807,1088452,166630,43620
_1_km_monthly_pixel_reliability_2014121_aid0001,aid0001,2014-05-01 00:00:00+00:00,3220894,821186,109361,30683
_1_km_monthly_pixel_reliability_2014152_aid0001,aid0001,2014-06-01 00:00:00+00:00,2554208,1461770,47037,119156
_1_km_monthly_pixel_reliability_2014182_aid0001,aid0001,2014-07-01 00:00:00+00:00,998012,1839824,14894,1329476
_1_km_monthly_pixel_reliability_2014213_aid0001,aid0001,2014-08-01 00:00:00+00:00,1327367,2081719,13236,759773
_1_km_monthly_pixel_reliability_2014244_aid0001,aid0001,2014-09-01 00:00:00+00:00,2326364,1785791,24991,44420
_1_km_monthly_pixel_reliability_2014274_aid0001,aid0001,2014-10-01 00:00:00+00:00,2502700,1599691,35648,41347
_1_km_monthly_pixel_reliability_2014305_aid0001,aid0001,2014-11-01 00:00:00+00:00,2438239,1606098,79753,54953
_1_km_monthly_pixel_reliability_2014335_aid0001,aid0001,2014-12-01 00:00:00+00:00,3032489,969541,85220,93133
_1_km_monthly_pixel_reliability_2015001_aid0001,aid0001,2015-01-01 00:00:00+00:00,2919098,998121,159483,101573
_1_km_monthly_pixel_reliability_2015032_aid0001,aid0001,2015-02-01 00:00:00+00:00,3106113,809254,154548,110854
_1_km_monthly_pixel_reliability_2015060_aid0001,aid0001,2015-03-01 00:00:00+00:00,3252435,671383,170381,86925
_1_km_monthly_pixel_reliability_2015091_aid0001,aid0001,2015-04-01 00:00:00+00:00,2760824,1225514,170572,25446
_1_km_monthly_pixel_reliability_2015121_aid0001,aid0001,2015-05-01 00:00:00+00:00,2642752,1370898,107714,61009
_1_km_monthly_pixel_reliability_2015152_aid0001,aid0001,2015-06-01 00:00:00+00:00,1662804,2197614,63541,258232
_1_km_monthly_pixel_reliability_2015182_aid0001,aid0001,2015-07-01 00:00:00+00:00,984076,2493793,16536,687716
_1_km_monthly_pixel_reliability_2015213_aid0001,aid0001,2015-08-01 00:00:00+00:00,1402432,2543487,15753,220060
_1_km_monthly_pixel_reliability_2015244_aid0001,aid0001,2015-09-01 00:00:00+00:00,2545166,1591607,19517,21551
_1_km_monthly_pixel_reliability_2015274_aid0001,aid0001,2015-10-01 00:00:00+00:00,2458046,1635925,61615,19972
_1_km_monthly_pixel_reliability_2015305_aid0001,aid0001,2015-11-01 00:00:00+00:00,1799203,2192382,121505,62245
_1_km_monthly_pixel_reliability_2015335_aid0001,aid0001,2015-12-01 00:00:00+00:00,2704456,1282037,126331,63518
_1_km_monthly_pixel_reliability_2016001_aid0001,aid0001,2016-01-01 00:00:00+00:00,2339734,1540009,151571,143087
_1_km_monthly_pixel_reliability_2016032_aid0001,aid0001,2016-02-01 00:00:00+00:00,2334194,1622190,148069,76535
_1_km_monthly_pixel_reliability_2016061_aid0001,aid0001,2016-03-01 00:00:00+00:00,2883057,1093077,144741,60972
_1_km_monthly_pixel_reliability_2016092_aid0001,aid0001,2016-04-01 00:00:00+00:00,3124909,871608,151898,32970
_1_km_monthly_pixel_reliability_2016122_aid0001,aid0001,2016-05-01 00:00:00+00:00,2956766,1115470,80314,29618
_1_km_monthly_pixel_reliability_2016153_aid0001,aid0001,2016-06-01 00:00:00+00:00,1741570,2073562,27125,339986
_1_km_monthly_pixel_reliability_2016183_aid0001,aid0001,2016-07-01 00:00:00+00:00,798983,1490713,12182,1880269
_1_km_monthly_pixel_reliability_2016214_aid0001,aid0001,2016-08-01 00:00:00+00:00,1218584,2390853,7432,565409
_1_km_monthly_pixel_reliability_2016245_aid0001,aid0001,2016-09-01 00:00:00+00:00,1717986,2338281,18615,106076
_1_km_monthly_pixel_reliability_2016275_aid0001,aid0001,2016-10-01 00:00:00+00:00,3235751,905045,21411,17329
_1_km_monthly_pixel_reliability_2016306_aid0001,aid0001,2016-11-01 00:00:00+00:00,2978964,1141426,23512,33239
_1_km_monthly_pixel_reliability_2016336_aid0001,aid0001,2016-12-01 00:00:00+00:00,3134970,959162,35044,49280
_1_km_monthly_pixel_reliability_2017001_aid0001,aid0001,2017-01-01 00:00:00+00:00,2503708,1425502,135960,113145
_1_km_monthly_pixel_reliability_2017032_aid0001,aid0001,2017-02-01 00:00:00+00:00,2943953,955238,182950,97596
_1_km_monthly_pixel_reliability_2017060_aid0001,aid0001,2017-03-01 00:00:00+00:00,2962952,964552,185349,68435
_1_km_monthly_pixel_reliability_2017091_aid0001,aid0001,2017-04-01 00:00:00+00:00,2996463,999688,150522,35693
_1_km_monthly_pixel_reliability_2017121_aid0001,aid0001,2017-05-01 00:00:00+00:00,2822330,1248423,83136,28621
_1_km_monthly_pixel_reliability_2017152_aid0001,aid0001,2017-06-01 00:00:00+00:00,1757285,1899486,39588,485924
_1_km_monthly_pixel_reliability_2017182_aid0001,aid0001,2017-07-01 00:00:00+00:00,665869,1719457,10558,1786349
_1_km_monthly_pixel_reliability_2017213_aid0001,aid0001,2017-08-01 00:00:00+00:00,1229971,2437813,12195,501983
_1_km_monthly_pixel_reliability_2017244_aid0001,aid0001,2017-09-01 00:00:00+00:00,1896636,2180339,17745,84159
_1_km_monthly_pixel_reliability_2017274_aid0001,aid0001,2017-10-01 00:00:00+00:00,2676088,1450932,24751,24549
_1_km_monthly_pixel_reliability_2017305_aid0001,aid0001,2017-11-01 00:00:00+00:00,2415750,1691839,26853,42485
_1_km_monthly_pixel_reliability_2017335_aid0001,aid0001,2017-12-01 00:00:00+00:00,2387608,1621367,99393,69952
_1_km_monthly_pixel_reliability_2018001_aid0001,aid0001,2018-01-01 00:00:00+00:00,2330693,1567021,134025,144719
_1_km_monthly_pixel_reliability_2018032_aid0001,aid0001,2018-02-01 00:00:00+00:00,3217851,760404,128646,72079
_1_km_monthly_pixel_reliability_2018060_aid0001,aid0001,2018-03-01 00:00:00+00:00,2931361,1060470,147972,40688
_1_km_monthly_pixel_reliability_2018091_aid0001,aid0001,2018-04-01 00:00:00+00:00,2938180,1091057,124946,27451
_1_km_monthly_pixel_reliability_2018121_aid0001,aid0001,2018-05-01 00:00:00+00:00,2115558,1943027,73564,50078
_1_km_monthly_pixel_reliability_2018152_aid0001,aid0001,2018-06-01 00:00:00+00:00,1651087,2108270,28437,394426
_1_km_monthly_pixel_reliability_2018182_aid0001,aid0001,2018-07-01 00:00:00+00:00,488539,1780357,10800,1902593
_1_km_monthly_pixel_reliability_2018213_aid0001,aid0001,2018-08-01 00:00:00+00:00,935964,2406849,11105,828205
_1_km_monthly_pixel_reliability_2018244_aid0001,aid0001,2018-09-01 00:00:00+00:00,2362865,1750654,17924,50316
_1_km_monthly_pixel_reliability_2018274_aid0001,aid0001,2018-10-01 00:00:00+00:00,3032861,1022514,79562,44873
_1_km_monthly_pixel_reliability_2018305_aid0001,aid0001,2018-11-01 00:00:00+00:00,2754526,1203413,164659,56055
_1_km_monthly_pixel_reliability_2018335_aid0001,aid0001,2018-12-01 00:00:00+00:00,1772896,2189865,145218,72989
