Value,MODLAND,VI Usefulness,Aerosol Quantity,Adjacent cloud detected,Atmosphere BRDF Correction,Mixed Clouds,Land/Water Mask,Possible snow/ice,Possible shadow
2189,"VI produced, but check other QA",Decreasing quality (0011),Average,No,No,No,Land (Nothing else but land),No,No
2190,"Pixel produced, but most probably cloudy",Decreasing quality (0011),Average,No,No,No,Land (Nothing else but land),No,No
2239,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Average,No,No,No,Land (Nothing else but land),No,No
2253,"VI produced, but check other QA",Decreasing quality (0011),High,No,No,No,Land (Nothing else but land),No,No
2254,"Pixel produced, but most probably cloudy",Decreasing quality (0011),High,No,No,No,Land (Nothing else but land),No,No
2257,"VI produced, but check other QA",Decreasing quality (0100),High,No,No,No,Land (Nothing else but land),No,No
2258,"Pixel produced, but most probably cloudy",Decreasing quality (0100),High,No,No,No,Land (Nothing else but land),No,No
2261,"VI produced, but check other QA",Decreasing quality (0101),High,No,No,No,Land (Nothing else but land),No,No
2262,"Pixel produced, but most probably cloudy",Decreasing quality (0101),High,No,No,No,Land (Nothing else but land),No,No
2303,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,High,No,No,No,Land (Nothing else but land),No,No
2317,"VI produced, but check other QA",Decreasing quality (0011),Climatology,Yes,No,No,Land (Nothing else but land),No,No
2318,"Pixel produced, but most probably cloudy",Decreasing quality (0011),Climatology,Yes,No,No,Land (Nothing else but land),No,No
2321,"VI produced, but check other QA",Decreasing quality (0100),Climatology,Yes,No,No,Land (Nothing else but land),No,No
2322,"Pixel produced, but most probably cloudy",Decreasing quality (0100),Climatology,Yes,No,No,Land (Nothing else but land),No,No
2325,"VI produced, but check other QA",Decreasing quality (0101),Climatology,Yes,No,No,Land (Nothing else but land),No,No
2326,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Climatology,Yes,No,No,Land (Nothing else but land),No,No
2367,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,Yes,No,No,Land (Nothing else but land),No,No
2372,"VI produced, good quality",Lower quality,Low,Yes,No,No,Land (Nothing else but land),No,No
2374,"Pixel produced, but most probably cloudy",Lower quality,Low,Yes,No,No,Land (Nothing else but land),No,No
2376,"VI produced, good quality",Decreasing quality (0010),Low,Yes,No,No,Land (Nothing else but land),No,No
2378,"Pixel produced, but most probably cloudy",Decreasing quality (0010),Low,Yes,No,No,Land (Nothing else but land),No,No
2380,"VI produced, good quality",Decreasing quality (0011),Low,Yes,No,No,Land (Nothing else but land),No,No
2382,"Pixel produced, but most probably cloudy",Decreasing quality (0011),Low,Yes,No,No,Land (Nothing else but land),No,No
2431,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Low,Yes,No,No,Land (Nothing else but land),No,No
2441,"VI produced, but check other QA",Decreasing quality (0010),Average,Yes,No,No,Land (Nothing else but land),No,No
2442,"Pixel produced, but most probably cloudy",Decreasing quality (0010),Average,Yes,No,No,Land (Nothing else but land),No,No
2445,"VI produced, but check other QA",Decreasing quality (0011),Average,Yes,No,No,Land (Nothing else but land),No,No
2446,"Pixel produced, but most probably cloudy",Decreasing quality (0011),Average,Yes,No,No,Land (Nothing else but land),No,No
2449,"VI produced, but check other QA",Decreasing quality (0100),Average,Yes,No,No,Land (Nothing else but land),No,No
2450,"Pixel produced, but most probably cloudy",Decreasing quality (0100),Average,Yes,No,No,Land (Nothing else but land),No,No
2495,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Average,Yes,No,No,Land (Nothing else but land),No,No
2513,"VI produced, but check other QA",Decreasing quality (0100),High,Yes,No,No,Land (Nothing else but land),No,No
2514,"Pixel produced, but most probably cloudy",Decreasing quality (0100),High,Yes,No,No,Land (Nothing else but land),No,No
2517,"VI produced, but check other QA",Decreasing quality (0101),High,Yes,No,No,Land (Nothing else but land),No,No
2518,"Pixel produced, but most probably cloudy",Decreasing quality (0101),High,Yes,No,No,Land (Nothing else but land),No,No
2521,"VI produced, but check other QA",Decreasing quality (0110),High,Yes,No,No,Land (Nothing else but land),No,No
2522,"Pixel produced, but most probably cloudy",Decreasing quality (0110),High,Yes,No,No,Land (Nothing else but land),No,No
2559,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,High,Yes,No,No,Land (Nothing else but land),No,No
3094,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Climatology,No,No,Yes,Land (Nothing else but land),No,No
3098,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Climatology,No,No,Yes,Land (Nothing else but land),No,No
3102,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Climatology,No,No,Yes,Land (Nothing else but land),No,No
3150,"Pixel produced, but most probably cloudy",Decreasing quality (0011),Low,No,No,Yes,Land (Nothing else but land),No,No
3154,"Pixel produced, but most probably cloudy",Decreasing quality (0100),Low,No,No,Yes,Land (Nothing else but land),No,No
3158,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Low,No,No,Yes,Land (Nothing else but land),No,No
3218,"Pixel produced, but most probably cloudy",Decreasing quality (0100),Average,No,No,Yes,Land (Nothing else but land),No,No
3222,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Average,No,No,Yes,Land (Nothing else but land),No,No
3226,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Average,No,No,Yes,Land (Nothing else but land),No,No
3290,"Pixel produced, but most probably cloudy",Decreasing quality (0110),High,No,No,Yes,Land (Nothing else but land),No,No
3294,"Pixel produced, but most probably cloudy",Decreasing quality (0111),High,No,No,Yes,Land (Nothing else but land),No,No
3298,"Pixel produced, but most probably cloudy",Decreasing quality (1000),High,No,No,Yes,Land (Nothing else but land),No,No
3354,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Climatology,Yes,No,Yes,Land (Nothing else but land),No,No
3358,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Climatology,Yes,No,Yes,Land (Nothing else but land),No,No
3362,"Pixel produced, but most probably cloudy",Decreasing quality (1000),Climatology,Yes,No,Yes,Land (Nothing else but land),No,No
3410,"Pixel produced, but most probably cloudy",Decreasing quality (0100),Low,Yes,No,Yes,Land (Nothing else but land),No,No
3414,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Low,Yes,No,Yes,Land (Nothing else but land),No,No
3418,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Low,Yes,No,Yes,Land (Nothing else but land),No,No
3478,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Average,Yes,No,Yes,Land (Nothing else but land),No,No
3482,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Average,Yes,No,Yes,Land (Nothing else but land),No,No
3486,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Average,Yes,No,Yes,Land (Nothing else but land),No,No
3550,"Pixel produced, but most probably cloudy",Decreasing quality (0111),High,Yes,No,Yes,Land (Nothing else but land),No,No
3554,"Pixel produced, but most probably cloudy",Decreasing quality (1000),High,Yes,No,Yes,Land (Nothing else but land),No,No
3558,"Pixel produced, but most probably cloudy",Decreasing quality (1001),High,Yes,No,Yes,Land (Nothing else but land),No,No
4105,"VI produced, but check other QA",Decreasing quality (0010),Climatology,No,No,No,Ocean coastlines and lake shorelines,No,No
4106,"Pixel produced, but most probably cloudy",Decreasing quality (0010),Climatology,No,No,No,Ocean coastlines and lake shorelines,No,No
4109,"VI produced, but check other QA",Decreasing quality (0011),Climatology,No,No,No,Ocean coastlines and lake shorelines,No,No
4110,"Pixel produced, but most probably cloudy",Decreasing quality (0011),Climatology,No,No,No,Ocean coastlines and lake shorelines,No,No
4113,"VI produced, but check other QA",Decreasing quality (0100),Climatology,No,No,No,Ocean coastlines and lake shorelines,No,No
4114,"Pixel produced, but most probably cloudy",Decreasing quality (0100),Climatology,No,No,No,Ocean coastlines and lake shorelines,No,No
4159,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,No,No,No,Ocean coastlines and lake shorelines,No,No
4160,"VI produced, good quality",Highest quality,Low,No,No,No,Ocean coastlines and lake shorelines,No,No
4162,"Pixel produced, but most probably cloudy",Highest quality,Low,No,No,No,Ocean coastlines and lake shorelines,No,No
4164,"VI produced, good quality",Lower quality,Low,No,No,No,Ocean coastlines and lake shorelines,No,No
4166,"Pixel produced, but most probably cloudy",Lower quality,Low,No,No,No,Ocean coastlines and lake shorelines,No,No
4168,"VI produced, good quality",Decreasing quality (0010),Low,No,No,No,Ocean coastlines and lake shorelines,No,No
4170,"Pixel produced, but most probably cloudy",Decreasing quality (0010),Low,No,No,No,Ocean coastlines and lake shorelines,No,No
4223,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Low,No,No,No,Ocean coastlines and lake shorelines,No,No
4233,"VI produced, but check other QA",Decreasing quality (0010),Average,No,No,No,Ocean coastlines and lake shorelines,No,No
4234,"Pixel produced, but most probably cloudy",Decreasing quality (0010),Average,No,No,No,Ocean coastlines and lake shorelines,No,No
4237,"VI produced, but check other QA",Decreasing quality (0011),Average,No,No,No,Ocean coastlines and lake shorelines,No,No
4238,"Pixel produced, but most probably cloudy",Decreasing quality (0011),Average,No,No,No,Ocean coastlines and lake shorelines,No,No
4305,"VI produced, but check other QA",Decreasing quality (0100),High,No,No,No,Ocean coastlines and lake shorelines,No,No
4309,"VI produced, but check other QA",Decreasing quality (0101),High,No,No,No,Ocean coastlines and lake shorelines,No,No
4365,"VI produced, but check other QA",Decreasing quality (0011),Climatology,Yes,No,No,Ocean coastlines and lake shorelines,No,No
4366,"Pixel produced, but most probably cloudy",Decreasing quality (0011),Climatology,Yes,No,No,Ocean coastlines and lake shorelines,No,No
4369,"VI produced, but check other QA",Decreasing quality (0100),Climatology,Yes,No,No,Ocean coastlines and lake shorelines,No,No
4370,"Pixel produced, but most probably cloudy",Decreasing quality (0100),Climatology,Yes,No,No,Ocean coastlines and lake shorelines,No,No
4373,"VI produced, but check other QA",Decreasing quality (0101),Climatology,Yes,No,No,Ocean coastlines and lake shorelines,No,No
4374,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Climatology,Yes,No,No,Ocean coastlines and lake shorelines,No,No
4415,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,Yes,No,No,Ocean coastlines and lake shorelines,No,No
5142,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Climatology,No,No,Yes,Ocean coastlines and lake shorelines,No,No
5146,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Climatology,No,No,Yes,Ocean coastlines and lake shorelines,No,No
5150,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Climatology,No,No,Yes,Ocean coastlines and lake shorelines,No,No
5198,"Pixel produced, but most probably cloudy",Decreasing quality (0011),Low,No,No,Yes,Ocean coastlines and lake shorelines,No,No
5202,"Pixel produced, but most probably cloudy",Decreasing quality (0100),Low,No,No,Yes,Ocean coastlines and lake shorelines,No,No
5206,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Low,No,No,Yes,Ocean coastlines and lake shorelines,No,No
5270,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Average,No,No,Yes,Ocean coastlines and lake shorelines,No,No
5274,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Average,No,No,Yes,Ocean coastlines and lake shorelines,No,No
5346,"Pixel produced, but most probably cloudy",Decreasing quality (1000),High,No,No,Yes,Ocean coastlines and lake shorelines,No,No
5402,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Climatology,Yes,No,Yes,Ocean coastlines and lake shorelines,No,No
5406,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Climatology,Yes,No,Yes,Ocean coastlines and lake shorelines,No,No
5410,"Pixel produced, but most probably cloudy",Decreasing quality (1000),Climatology,Yes,No,Yes,Ocean coastlines and lake shorelines,No,No
6153,"VI produced, but check other QA",Decreasing quality (0010),Climatology,No,No,No,Shallow inland water,No,No
6154,"Pixel produced, but most probably cloudy",Decreasing quality (0010),Climatology,No,No,No,Shallow inland water,No,No
6157,"VI produced, but check other QA",Decreasing quality (0011),Climatology,No,No,No,Shallow inland water,No,No
6158,"Pixel produced, but most probably cloudy",Decreasing quality (0011),Climatology,No,No,No,Shallow inland water,No,No
6161,"VI produced, but check other QA",Decreasing quality (0100),Climatology,No,No,No,Shallow inland water,No,No
6162,"Pixel produced, but most probably cloudy",Decreasing quality (0100),Climatology,No,No,No,Shallow inland water,No,No
6207,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,No,No,No,Shallow inland water,No,No
6208,"VI produced, good quality",Highest quality,Low,No,No,No,Shallow inland water,No,No
6210,"Pixel produced, but most probably cloudy",Highest quality,Low,No,No,No,Shallow inland water,No,No
6212,"VI produced, good quality",Lower quality,Low,No,No,No,Shallow inland water,No,No
6214,"Pixel produced, but most probably cloudy",Lower quality,Low,No,No,No,Shallow inland water,No,No
6216,"VI produced, good quality",Decreasing quality (0010),Low,No,No,No,Shallow inland water,No,No
6218,"Pixel produced, but most probably cloudy",Decreasing quality (0010),Low,No,No,No,Shallow inland water,No,No
6271,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Low,No,No,No,Shallow inland water,No,No
6277,"VI produced, but check other QA",Lower quality,Average,No,No,No,Shallow inland water,No,No
6281,"VI produced, but check other QA",Decreasing quality (0010),Average,No,No,No,Shallow inland water,No,No
6282,"Pixel produced, but most probably cloudy",Decreasing quality (0010),Average,No,No,No,Shallow inland water,No,No
6285,"VI produced, but check other QA",Decreasing quality (0011),Average,No,No,No,Shallow inland water,No,No
6349,"VI produced, but check other QA",Decreasing quality (0011),High,No,No,No,Shallow inland water,No,No
6350,"Pixel produced, but most probably cloudy",Decreasing quality (0011),High,No,No,No,Shallow inland water,No,No
6353,"VI produced, but check other QA",Decreasing quality (0100),High,No,No,No,Shallow inland water,No,No
6354,"Pixel produced, but most probably cloudy",Decreasing quality (0100),High,No,No,No,Shallow inland water,No,No
6357,"VI produced, but check other QA",Decreasing quality (0101),High,No,No,No,Shallow inland water,No,No
6358,"Pixel produced, but most probably cloudy",Decreasing quality (0101),High,No,No,No,Shallow inland water,No,No
6399,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,High,No,No,No,Shallow inland water,No,No
6413,"VI produced, but check other QA",Decreasing quality (0011),Climatology,Yes,No,No,Shallow inland water,No,No
6414,"Pixel produced, but most probably cloudy",Decreasing quality (0011),Climatology,Yes,No,No,Shallow inland water,No,No
6417,"VI produced, but check other QA",Decreasing quality (0100),Climatology,Yes,No,No,Shallow inland water,No,No
6418,"Pixel produced, but most probably cloudy",Decreasing quality (0100),Climatology,Yes,No,No,Shallow inland water,No,No
6421,"VI produced, but check other QA",Decreasing quality (0101),Climatology,Yes,No,No,Shallow inland water,No,No
6422,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Climatology,Yes,No,No,Shallow inland water,No,No
6463,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,Yes,No,No,Shallow inland water,No,No
6468,"VI produced, good quality",Lower quality,Low,Yes,No,No,Shallow inland water,No,No
6472,"VI produced, good quality",Decreasing quality (0010),Low,Yes,No,No,Shallow inland water,No,No
6527,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Low,Yes,No,No,Shallow inland water,No,No
6537,"VI produced, but check other QA",Decreasing quality (0010),Average,Yes,No,No,Shallow inland water,No,No
6541,"VI produced, but check other QA",Decreasing quality (0011),Average,Yes,No,No,Shallow inland water,No,No
6545,"VI produced, but check other QA",Decreasing quality (0100),Average,Yes,No,No,Shallow inland water,No,No
6609,"VI produced, but check other QA",Decreasing quality (0100),High,Yes,No,No,Shallow inland water,No,No
6610,"Pixel produced, but most probably cloudy",Decreasing quality (0100),High,Yes,No,No,Shallow inland water,No,No
6613,"VI produced, but check other QA",Decreasing quality (0101),High,Yes,No,No,Shallow inland water,No,No
6614,"Pixel produced, but most probably cloudy",Decreasing quality (0101),High,Yes,No,No,Shallow inland water,No,No
6617,"VI produced, but check other QA",Decreasing quality (0110),High,Yes,No,No,Shallow inland water,No,No
6618,"Pixel produced, but most probably cloudy",Decreasing quality (0110),High,Yes,No,No,Shallow inland water,No,No
6655,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,High,Yes,No,No,Shallow inland water,No,No
7190,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Climatology,No,No,Yes,Shallow inland water,No,No
7194,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Climatology,No,No,Yes,Shallow inland water,No,No
7198,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Climatology,No,No,Yes,Shallow inland water,No,No
7246,"Pixel produced, but most probably cloudy",Decreasing quality (0011),Low,No,No,Yes,Shallow inland water,No,No
7250,"Pixel produced, but most probably cloudy",Decreasing quality (0100),Low,No,No,Yes,Shallow inland water,No,No
7254,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Low,No,No,Yes,Shallow inland water,No,No
7318,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Average,No,No,Yes,Shallow inland water,No,No
7322,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Average,No,No,Yes,Shallow inland water,No,No
7386,"Pixel produced, but most probably cloudy",Decreasing quality (0110),High,No,No,Yes,Shallow inland water,No,No
7390,"Pixel produced, but most probably cloudy",Decreasing quality (0111),High,No,No,Yes,Shallow inland water,No,No
7394,"Pixel produced, but most probably cloudy",Decreasing quality (1000),High,No,No,Yes,Shallow inland water,No,No
7450,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Climatology,Yes,No,Yes,Shallow inland water,No,No
7454,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Climatology,Yes,No,Yes,Shallow inland water,No,No
7458,"Pixel produced, but most probably cloudy",Decreasing quality (1000),Climatology,Yes,No,Yes,Shallow inland water,No,No
7646,"Pixel produced, but most probably cloudy",Decreasing quality (0111),High,Yes,No,Yes,Shallow inland water,No,No
7650,"Pixel produced, but most probably cloudy",Decreasing quality (1000),High,Yes,No,Yes,Shallow inland water,No,No
7654,"Pixel produced, but most probably cloudy",Decreasing quality (1001),High,Yes,No,Yes,Shallow inland water,No,No
18445,"VI produced, but check other QA",Decreasing quality (0011),Climatology,No,No,No,Land (Nothing else but land),Yes,No
18446,"Pixel produced, but most probably cloudy",Decreasing quality (0011),Climatology,No,No,No,Land (Nothing else but land),Yes,No
18449,"VI produced, but check other QA",Decreasing quality (0100),Climatology,No,No,No,Land (Nothing else but land),Yes,No
18450,"Pixel produced, but most probably cloudy",Decreasing quality (0100),Climatology,No,No,No,Land (Nothing else but land),Yes,No
18453,"VI produced, but check other QA",Decreasing quality (0101),Climatology,No,No,No,Land (Nothing else but land),Yes,No
18454,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Climatology,No,No,No,Land (Nothing else but land),Yes,No
18500,"VI produced, good quality",Lower quality,Low,No,No,No,Land (Nothing else but land),Yes,No
18504,"VI produced, good quality",Decreasing quality (0010),Low,No,No,No,Land (Nothing else but land),Yes,No
18569,"VI produced, but check other QA",Decreasing quality (0010),Average,No,No,No,Land (Nothing else but land),Yes,No
18573,"VI produced, but check other QA",Decreasing quality (0011),Average,No,No,No,Land (Nothing else but land),Yes,No
18577,"VI produced, but check other QA",Decreasing quality (0100),Average,No,No,No,Land (Nothing else but land),Yes,No
18641,"VI produced, but check other QA",Decreasing quality (0100),High,No,No,No,Land (Nothing else but land),Yes,No
18642,"Pixel produced, but most probably cloudy",Decreasing quality (0100),High,No,No,No,Land (Nothing else but land),Yes,No
18645,"VI produced, but check other QA",Decreasing quality (0101),High,No,No,No,Land (Nothing else but land),Yes,No
18646,"Pixel produced, but most probably cloudy",Decreasing quality (0101),High,No,No,No,Land (Nothing else but land),Yes,No
18649,"VI produced, but check other QA",Decreasing quality (0110),High,No,No,No,Land (Nothing else but land),Yes,No
18650,"Pixel produced, but most probably cloudy",Decreasing quality (0110),High,No,No,No,Land (Nothing else but land),Yes,No
18705,"VI produced, but check other QA",Decreasing quality (0100),Climatology,Yes,No,No,Land (Nothing else but land),Yes,No
18706,"Pixel produced, but most probably cloudy",Decreasing quality (0100),Climatology,Yes,No,No,Land (Nothing else but land),Yes,No
18709,"VI produced, but check other QA",Decreasing quality (0101),Climatology,Yes,No,No,Land (Nothing else but land),Yes,No
18710,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Climatology,Yes,No,No,Land (Nothing else but land),Yes,No
18713,"VI produced, but check other QA",Decreasing quality (0110),Climatology,Yes,No,No,Land (Nothing else but land),Yes,No
18714,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Climatology,Yes,No,No,Land (Nothing else but land),Yes,No
18760,"VI produced, good quality",Decreasing quality (0010),Low,Yes,No,No,Land (Nothing else but land),Yes,No
18764,"VI produced, good quality",Decreasing quality (0011),Low,Yes,No,No,Land (Nothing else but land),Yes,No
18829,"VI produced, but check other QA",Decreasing quality (0011),Average,Yes,No,No,Land (Nothing else but land),Yes,No
18833,"VI produced, but check other QA",Decreasing quality (0100),Average,Yes,No,No,Land (Nothing else but land),Yes,No
18837,"VI produced, but check other QA",Decreasing quality (0101),Average,Yes,No,No,Land (Nothing else but land),Yes,No
18901,"VI produced, but check other QA",Decreasing quality (0101),High,Yes,No,No,Land (Nothing else but land),Yes,No
18902,"Pixel produced, but most probably cloudy",Decreasing quality (0101),High,Yes,No,No,Land (Nothing else but land),Yes,No
18905,"VI produced, but check other QA",Decreasing quality (0110),High,Yes,No,No,Land (Nothing else but land),Yes,No
18906,"Pixel produced, but most probably cloudy",Decreasing quality (0110),High,Yes,No,No,Land (Nothing else but land),Yes,No
18909,"VI produced, but check other QA",Decreasing quality (0111),High,Yes,No,No,Land (Nothing else but land),Yes,No
18910,"Pixel produced, but most probably cloudy",Decreasing quality (0111),High,Yes,No,No,Land (Nothing else but land),Yes,No
19478,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Climatology,No,No,Yes,Land (Nothing else but land),Yes,No
19482,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Climatology,No,No,Yes,Land (Nothing else but land),Yes,No
19486,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Climatology,No,No,Yes,Land (Nothing else but land),Yes,No
19490,"Pixel produced, but most probably cloudy",Decreasing quality (1000),Climatology,No,No,Yes,Land (Nothing else but land),Yes,No
19606,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Average,No,No,Yes,Land (Nothing else but land),Yes,No
19678,"Pixel produced, but most probably cloudy",Decreasing quality (0111),High,No,No,Yes,Land (Nothing else but land),Yes,No
19682,"Pixel produced, but most probably cloudy",Decreasing quality (1000),High,No,No,Yes,Land (Nothing else but land),Yes,No
19686,"Pixel produced, but most probably cloudy",Decreasing quality (1001),High,No,No,Yes,Land (Nothing else but land),Yes,No
19738,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Climatology,Yes,No,Yes,Land (Nothing else but land),Yes,No
19742,"Pixel produced, but most probably cloudy",Decreasing quality (0111),Climatology,Yes,No,Yes,Land (Nothing else but land),Yes,No
19746,"Pixel produced, but most probably cloudy",Decreasing quality (1000),Climatology,Yes,No,Yes,Land (Nothing else but land),Yes,No
19750,"Pixel produced, but most probably cloudy",Decreasing quality (1001),Climatology,Yes,No,Yes,Land (Nothing else but land),Yes,No
19866,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Average,Yes,No,Yes,Land (Nothing else but land),Yes,No
19934,"Pixel produced, but most probably cloudy",Decreasing quality (0111),High,Yes,No,Yes,Land (Nothing else but land),Yes,No
19938,"Pixel produced, but most probably cloudy",Decreasing quality (1000),High,Yes,No,Yes,Land (Nothing else but land),Yes,No
19942,"Pixel produced, but most probably cloudy",Decreasing quality (1001),High,Yes,No,Yes,Land (Nothing else but land),Yes,No
19946,"Pixel produced, but most probably cloudy",Decreasing quality (1010),High,Yes,No,Yes,Land (Nothing else but land),Yes,No
20493,"VI produced, but check other QA",Decreasing quality (0011),Climatology,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20494,"Pixel produced, but most probably cloudy",Decreasing quality (0011),Climatology,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20497,"VI produced, but check other QA",Decreasing quality (0100),Climatology,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20498,"Pixel produced, but most probably cloudy",Decreasing quality (0100),Climatology,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20501,"VI produced, but check other QA",Decreasing quality (0101),Climatology,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20502,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Climatology,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20548,"VI produced, good quality",Lower quality,Low,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20552,"VI produced, good quality",Decreasing quality (0010),Low,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20556,"VI produced, good quality",Decreasing quality (0011),Low,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20621,"VI produced, but check other QA",Decreasing quality (0011),Average,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20753,"VI produced, but check other QA",Decreasing quality (0100),Climatology,Yes,No,No,Ocean coastlines and lake shorelines,Yes,No
20754,"Pixel produced, but most probably cloudy",Decreasing quality (0100),Climatology,Yes,No,No,Ocean coastlines and lake shorelines,Yes,No
20757,"VI produced, but check other QA",Decreasing quality (0101),Climatology,Yes,No,No,Ocean coastlines and lake shorelines,Yes,No
20758,"Pixel produced, but most probably cloudy",Decreasing quality (0101),Climatology,Yes,No,No,Ocean coastlines and lake shorelines,Yes,No
20761,"VI produced, but check other QA",Decreasing quality (0110),Climatology,Yes,No,No,Ocean coastlines and lake shorelines,Yes,No
20762,"Pixel produced, but most probably cloudy",Decreasing quality (0110),Climatology,Yes,No,No,Ocean coastlines and lake shorelines,Yes,No
